5000 24132
1282 4650 3
1282 4831 1
1283 2203 1
1283 2315 1
1283 3239 1
1283 3485 1
1284 496 4
1284 632 2
1284 3539 1
1285 1442 1
1285 1661 6
1285 2336 1
1285 2380 3
1285 4613 1
1286 93 8
1286 648 2
1286 1108 1
1286 1392 5
1286 4391 1
1287 3152 4
1287 3198 1
1287 3815 8
1287 4217 1
1287 4305 1
1288 901 1
1288 1667 5
1288 4647 3
1288 4934 2
1289 642 4
1289 690 1
1289 1692 2
1289 1746 10
1289 4458 7
1290 233 3
1290 251 1
1290 744 2
1290 1109 1
1290 1584 19
1290 2235 6
1290 3124 2
1290 3773 1
1290 3896 1
1291 2074 1
1291 2246 1
1291 3466 1
1291 3677 5
1291 4326 1
1291 4786 4
1292 771 1
1292 2989 3
1293 226 3
1293 923 2
1293 1618 6
1293 3177 2
1293 3558 1
1293 3783 1
1293 4136 1
1293 4586 3
1294 160 3
1294 3867 1
1294 4594 1
1295 236 3
1295 1912 4
1295 3258 1
1296 469 1
1296 808 6
1296 1029 2
1296 1445 1
1296 1552 3
1296 3681 1
1296 4242 1
1296 4842 2
1297 1703 1
1297 2167 3
1297 2358 1
1297 3777 4
1298 213 2
1298 765 2
1298 3036 1
1298 3595 1
1298 3754 3
1298 3807 1
1298 4746 13
1299 2313 12
1299 2489 22
1299 2539 1
1299 3882 2
1300 666 1
1300 885 4
1300 2309 1
1300 3612 1
1300 4018 1
1300 4051 2
1301 200 1
1301 3504 1
1301 4149 2
1301 4957 1
1302 669 4
1302 1264 1
1302 2862 1
1302 3630 1
1302 3891 2
1302 4949 3
1303 377 4
1303 537 9
1303 2341 5
1303 2410 1
1303 3044 5
1303 3175 6
1303 4319 7
1303 4449 1
1305 1635 1
1305 1929 1
1305 2099 1
1305 4242 1
1305 4610 1
1306 851 1
1306 887 4
1306 1354 1
1306 1869 1
1306 2184 2
1306 3133 4
1306 4117 1
1307 504 3
1307 651 7
1307 846 14
1307 1051 1
1307 1813 1
1307 3073 3
1307 4350 1
1307 4675 1
1308 634 1
1308 4337 1
1308 4918 2
1309 2975 1
1309 3656 4
1310 2328 1
1310 3105 1
1310 4704 1
1311 241 3
1311 503 1
1311 2502 3
1312 1876 3
1312 2112 2
1312 3027 1
1312 3785 1
1312 4211 4
1313 98 3
1313 985 5
1313 2513 3
1313 4680 6
1313 4697 3
1314 1895 1
1314 2386 1
1314 2890 1
1314 3189 3
1314 4240 1
1315 1056 1
1315 1245 4
1315 1897 2
1315 2083 4
1315 2313 1
1315 3002 3
1316 682 3
1316 1116 1
1316 1562 1
1316 1659 1
1316 1858 1
1316 2002 24
1316 2531 1
1317 32 1
1317 702 1
1317 730 8
1317 1293 3
1317 1323 4
1317 1804 1
1317 2538 1
1317 3618 2
1318 1064 9
1318 1482 4
1318 2325 1
1318 2468 2
1318 3215 1
1318 4265 1
1319 306 3
1319 655 1
1319 657 1
1319 1160 1
1319 1249 1
1319 1362 1
1319 2406 1
1319 2917 15
1319 3446 3
1319 4915 1
1320 1396 2
1320 1800 3
1320 4538 2
1320 4576 4
1321 2045 2
1321 2482 3
1321 4310 2
1322 20 1
1322 1343 1
1322 2015 8
1322 2466 1
1322 3851 1
1322 4098 18
1323 261 1
1323 333 5
1323 421 14
1323 878 1
1323 1485 1
1323 1743 1
1323 2046 1
1323 2801 1
1323 4810 1
1324 797 4
1324 1791 2
1324 2039 3
1324 2327 1
1324 2412 1
1324 3154 1
1325 244 7
1325 1452 4
1325 1600 7
1326 90 2
1326 1173 1
1326 1585 1
1326 2234 1
1326 2255 16
1326 2342 1
1326 3400 8
1326 4400 1
1326 4570 2
1327 683 1
1327 718 1
1327 1051 2
1327 1867 1
1327 1996 4
1327 3779 1
1327 4950 1
1328 205 1
1328 3610 1
1328 4200 1
1329 685 1
1329 1367 1
1329 2879 1
1329 4488 2
1330 1982 3
1330 2476 1
1330 3676 1
1330 3779 3
1331 128 1
1331 2458 1
1331 2703 7
1331 4934 6
1332 228 10
1332 3822 8
1332 3912 4
1332 4686 6
1333 1921 3
1333 3313 1
1333 4176 6
1333 4798 4
1334 180 3
1334 478 3
1334 898 1
1334 2475 4
1334 2735 1
1334 3301 1
1334 3550 4
1334 4771 1
1335 2437 2
1335 2750 1
1335 3506 1
1336 3277 1
1336 4787 1
1337 1157 2
1337 1226 5
1338 5 2
1338 598 12
1338 3615 1
1338 4833 1
1339 532 1
1339 1314 6
1339 1519 1
1339 3816 1
1340 136 1
1340 219 1
1340 3099 1
1340 3492 1
1340 4049 3
1341 2362 1
1341 4249 13
1342 1984 2
1342 3894 1
1342 4020 1
1342 4498 1
1343 1755 2
1344 762 2
1344 1144 4
1344 1657 1
1344 3325 1
1344 4407 6
1344 4445 3
1345 392 1
1345 530 2
1345 546 1
1345 1549 7
1345 1887 1
1345 4162 1
1345 4304 1
1346 537 4
1346 703 1
1346 938 1
1346 1644 1
1346 1673 2
1346 2734 2
1346 3215 1
1346 3574 2
1346 4048 1
1346 4760 13
1347 727 1
1347 922 3
1347 1707 3
1347 4259 2
1347 4652 1
1348 226 5
1348 1014 1
1348 1042 4
1348 3546 1
1348 3551 1
1348 4024 3
1349 487 6
1349 666 1
1349 1143 1
1349 4783 1
1350 330 1
1350 1058 4
1350 1673 1
1350 3959 1
1350 4492 2
1350 4913 1
1351 604 1
1351 616 3
1351 1693 1
1352 2094 1
1352 2248 4
1352 2631 1
1352 4191 1
1353 1816 1
1353 2216 5
1353 3523 4
1353 3569 1
1353 4491 1
1354 603 1
1354 3119 13
1354 3750 1
1354 4573 1
1355 513 1
1355 1116 1
1355 2181 1
1356 140 1
1356 1000 1
1356 2084 1
1356 2750 1
1356 3496 1
1356 4924 1
1357 160 2
1357 254 2
1357 1521 36
1358 4119 24
1359 302 1
1359 1098 5
1359 1434 1
1359 1702 4
1359 2051 5
1359 2165 10
1359 4259 1
1360 2118 6
1360 2594 2
1360 3163 2
1360 3242 1
1360 4810 1
1361 653 1
1361 1994 2
1361 2736 21
1362 520 1
1362 2207 2
1362 2597 2
1362 4403 1
1362 4778 6
1363 72 1
1363 965 1
1363 1862 2
1363 1936 1
1363 2012 1
1363 2720 1
1364 1125 1
1364 1442 5
1364 1597 2
1364 3542 4
1364 3568 1
1364 4640 1
1365 1279 1
1365 2694 2
1365 2876 3
1365 2997 2
1365 3762 2
1365 4373 8
1366 225 1
1366 1388 1
1366 1467 3
1366 3967 1
1367 1218 1
1367 1445 9
1367 2041 4
1367 2130 1
1367 2410 3
1367 3317 1
1367 3425 2
1367 3461 1
1367 3540 1
1368 329 4
1368 403 1
1368 2266 1
1368 2497 1
1368 2569 3
1368 2720 4
1369 197 4
1369 808 1
1369 1801 1
1369 2490 1
1369 3146 2
1369 3160 1
1369 3260 1
1369 3932 17
1370 312 20
1370 1017 2
1370 1600 1
1370 2633 9
1370 3844 1
1370 4440 1
1370 4495 17
1371 82 4
1371 125 1
1371 1300 1
1371 2405 1
1371 2536 5
1371 4447 1
1372 561 4
1372 1076 1
1372 1077 7
1372 2244 1
1372 3574 3
1373 890 1
1373 1144 1
1373 1903 5
1373 2101 1
1373 2831 1
1373 4508 2
1373 4986 1
1374 1599 2
1374 1669 2
1374 2078 3
1374 2870 1
1374 2965 3
1374 3470 1
1374 3918 1
1374 4860 1
1375 446 1
1375 1810 4
1375 2122 13
1375 3845 3
1375 3888 4
1376 1880 3
1376 2092 1
1376 2645 1
1376 3181 1
1376 3599 1
1377 688 4
1377 2487 1
1378 610 4
1378 1249 1
1378 4185 1
1378 4916 1
1379 1003 1
1379 1681 17
1379 2747 4
1379 3492 1
1379 4352 1
1380 915 1
1380 1021 4
1380 1055 2
1380 1667 1
1380 1937 4
1380 4015 2
1380 4456 1
1380 4491 1
1381 2457 1
1381 3238 3
1381 4267 1
1381 4761 2
1382 1559 1
1382 2741 1
1382 3478 1
1383 1123 1
1383 2692 2
1383 3439 1
1383 4568 74
1384 180 3
1384 256 1
1384 2972 1
1385 96 1
1385 198 2
1385 801 1
1385 2702 1
1385 2858 1
1385 4120 8
1385 4195 1
1385 4935 1
1386 2054 1
1386 3076 3
1386 3820 3
1386 4654 4
1387 757 1
1388 1376 1
1388 2062 3
1388 2567 1
1388 2977 1
1388 4772 1
1389 4090 1
1389 4362 2
1390 1995 1
1390 2001 18
1390 2840 2
1391 316 1
1391 1088 1
1391 1793 5
1391 3781 3
1392 1492 1
1392 3961 8
1392 4700 2
1392 4765 6
1392 4884 6
1393 172 1
1393 702 18
1393 3404 1
1393 4057 1
1393 4604 1
1394 459 1
1394 809 1
1394 1145 10
1394 2325 1
1394 4803 1
1394 4887 2
1395 183 1
1395 1902 2
1395 2201 1
1395 2454 6
1395 2643 1
1395 2871 3
1395 3027 3
1395 3741 1
1396 1582 2
1396 2178 1
1396 3267 1
1396 4645 1
1397 978 5
1397 1438 1
1397 2048 3
1397 2361 2
1397 2555 1
1397 2770 1
1397 3134 3
1397 3250 1
1397 3608 1
1398 1437 3
1398 1681 4
1398 2374 1
1398 3780 1
1399 1106 1
1399 1896 1
1399 3529 1
1399 3603 4
1399 4339 2
1400 590 2
1400 1858 3
1400 3135 1
1400 3562 1
1400 4885 1
1401 2115 2
1401 2125 1
1402 3626 1
1402 4303 4
1402 4759 3
1403 1560 1
1403 4404 1
1404 842 1
1404 970 1
1404 3397 1
1404 3922 1
1404 4296 1
1404 4810 2
1405 1627 2
1405 4683 1
1406 2005 2
1406 2138 41
1406 2453 1
1406 3308 1
1406 4596 1
1406 4745 2
1406 4828 4
1407 2994 19
1407 3199 1
1407 4048 1
1407 4709 13
1408 57 1
1408 1078 2
1408 1129 15
1408 1294 1
1408 3071 1
1408 3963 1
1409 196 4
1409 852 1
1409 1273 1
1409 1593 6
1409 2189 1
1409 2833 1
1409 3996 3
1409 4774 1
1410 1271 1
1410 1780 3
1410 1894 1
1410 2097 2
1410 3537 4
1410 3787 1
1410 4234 4
1410 4579 3
1410 4644 9
1411 23 7
1411 123 1
1411 414 1
1411 524 1
1411 677 5
1411 2504 5
1411 3180 1
1411 3628 1
1411 4032 6
1411 4487 2
1411 4589 1
1412 576 1
1412 884 1
1412 1917 1
1412 2124 1
1413 1342 1
1413 2052 1
1413 2157 1
1413 2976 2
1413 4107 1
1414 840 5
1414 1200 2
1414 1335 11
1414 1690 9
1414 4103 3
1414 4377 1
1415 1271 1
1415 1656 3
1415 2606 1
1415 2980 1
1415 3538 12
1415 3566 9
1416 567 1
1416 3980 6
1417 456 1
1417 590 2
1417 1168 2
1417 1636 2
1418 758 1
1418 980 1
1418 1819 2
1418 3094 5
1419 22 2
1419 88 1
1419 1503 2
1419 2147 1
1419 2994 5
1419 4195 2
1420 1475 2
1420 2600 1
1420 4197 1
1421 578 2
1421 888 6
1421 2223 1
1421 3130 5
1421 4169 1
1421 4792 1
1422 1029 1
1422 1181 1
1422 1792 1
1422 2463 1
1422 4719 2
1423 10 6
1423 286 3
1423 2789 1
1423 4800 10
1424 466 2
1424 2228 8
1424 2798 1
1424 3957 1
1425 323 1
1425 1697 1
1425 4061 1
1425 4617 5
1425 4705 1
1425 4715 7
1426 196 1
1426 253 3
1426 564 1
1427 1672 1
1427 4205 1
1427 4762 1
1428 650 1
1428 3085 2
1428 3602 1
1428 3997 1
1428 4225 2
1428 4518 9
1429 406 1
1429 548 1
1429 1577 1
1429 2662 1
1430 252 1
1430 345 1
1430 1478 3
1430 2463 2
1430 2939 1
1430 3116 4
1430 4757 2
1431 277 1
1431 561 1
1431 690 1
1431 2020 1
1431 2555 1
1431 3524 1
1431 3717 1
1432 392 1
1432 1017 6
1432 1187 31
1432 1255 1
1432 1892 1
1432 1938 2
1432 3019 1
1432 3914 1
1432 4582 1
1433 259 1
1433 525 6
1433 741 1
1433 3596 4
1433 4002 4
1433 4273 1
1433 4977 1
1434 294 5
1434 1394 1
1434 1736 3
1434 1832 1
1434 2504 2
1434 3340 7
1434 3455 1
1434 4949 2
1435 59 4
1435 531 1
1435 870 2
1435 1221 1
1435 2314 3
1435 2383 1
1435 3902 1
1435 4936 1
1436 1297 2
1436 2057 3
1436 3828 1
1436 4587 34
1437 568 5
1437 1197 8
1437 1480 1
1437 3801 1
1438 894 1
1438 1153 1
1438 1457 1
1438 4164 2
1439 426 8
1439 1351 3
1439 1790 1
1439 3335 2
1439 3515 1
1439 4519 7
1440 2040 1
1440 2652 1
1440 2946 1
1440 3207 1
1440 3461 1
1440 4536 3
1441 344 1
1441 1612 1
1441 3452 1
1442 610 1
1442 2918 2
1442 3388 7
1442 3996 1
1443 1233 1
1443 1645 1
1443 1746 2
1443 2820 1
1443 4019 1
1443 4296 1
1444 66 3
1444 522 4
1444 4065 7
1444 4864 3
1445 209 2
1445 1219 1
1445 2997 4
1445 3548 1
1445 4029 4
1446 1251 2
1446 2864 1
1446 2888 2
1446 3351 1
1447 1072 2
1447 3904 2
1447 4928 9
1448 885 1
1448 3202 5
1449 163 1
1449 1230 1
1449 4472 1
1449 4732 8
1449 4815 1
1450 82 7
1450 745 3
1450 1542 9
1450 2246 9
1450 3160 3
1450 4101 2
1450 4148 10
1451 1407 10
1451 1685 1
1451 3273 16
1451 3339 1
1451 4810 1
1452 336 3
1452 436 6
1452 910 2
1452 1894 1
1453 246 10
1453 260 1
1453 1843 1
1453 2939 1
1453 3124 3
1453 4486 1
1454 548 2
1454 766 4
1454 1398 1
1455 499 4
1455 1213 1
1455 1434 1
1455 2728 1
1455 4016 1
1455 4971 2
1456 133 1
1456 410 1
1456 507 1
1456 888 2
1456 1406 6
1456 1634 2
1456 3164 1
1456 3305 1
1457 735 17
1457 1444 2
1457 1500 6
1457 3472 5
1457 4481 3
1457 4712 2
1458 995 1
1458 1127 1
1458 1376 1
1458 2974 1
1458 3188 1
1459 471 17
1459 1020 2
1459 2073 1
1459 2460 3
1459 3226 11
1459 4323 1
1460 2822 1
1460 3286 1
1460 3725 6
1460 3806 2
1461 49 1
1461 1455 2
1461 2338 1
1461 2366 1
1461 2592 6
1461 3314 22
1461 4100 3
1461 4606 5
1462 389 1
1462 2405 2
1462 3447 2
1463 1321 10
1463 3272 2
1463 3469 3
1463 4007 1
1463 4870 1
1464 1246 2
1464 1354 2
1464 4220 2
1464 4509 3
1465 1825 1
1465 1989 5
1465 2664 1
1465 3032 2
1466 1259 4
1466 4197 1
1466 4355 1
1466 4375 1
1466 4737 3
1466 4984 1
1467 33 5
1467 867 1
1467 3093 9
1467 3529 5
1468 292 5
1468 1155 1
1468 1320 2
1468 2033 2
1468 2699 12
1468 2840 11
1468 3725 2
1468 4602 2
1469 1903 2
1469 3547 6
1469 4226 1
1469 4868 1
1470 74 7
1470 730 1
1470 939 1
1470 2719 1
1470 3233 1
1470 4502 1
1471 1472 14
1471 1735 3
1471 3107 1
1471 3314 1
1471 4117 15
1471 4366 1
1472 4022 1
1473 702 10
1473 2088 4
1473 2199 4
1473 2551 1
1474 292 1
1474 1091 1
1474 1168 2
1474 1668 1
1474 2038 6
1474 2435 2
1474 2991 1
1474 4635 2
1474 4715 1
1474 4771 22
1474 4928 1
1475 936 1
1475 1264 5
1475 3572 8
1476 850 1
1476 4426 1
1477 1666 3
1477 3141 7
1477 4500 3
1478 737 25
1478 1925 1
1478 2258 6
1478 2472 1
1478 2607 1
1478 3325 1
1478 3944 1
1479 947 1
1479 1116 1
1479 1143 1
1479 4028 1
1479 4850 1
1480 1435 3
1481 712 2
1481 778 1
1481 2396 1
1481 4621 1
1481 4832 13
1482 414 6
1482 838 1
1482 1881 1
1482 2948 4
1482 3222 1
1482 3358 2
1482 3434 8
1482 3884 1
1483 1182 1
1483 1902 1
1483 2285 3
1483 2639 1
1483 2784 2
1483 3040 3
1484 111 1
1484 407 10
1484 1244 1
1484 1717 12
1484 4016 1
1484 4570 4
1484 4792 1
1485 689 1
1485 1066 1
1485 1468 2
1485 2902 1
1485 3598 2
1485 3867 2
1485 4814 1
1485 4840 3
1486 553 1
1486 1668 1
1486 3086 1
1486 3234 1
1486 3786 1
1486 4220 1
1486 4646 1
1487 27 3
1487 59 1
1487 225 1
1487 633 1
1487 3323 1
1487 4163 1
1487 4451 1
1488 426 1
1488 1448 2
1488 2263 1
1488 2693 1
1488 2865 1
1488 2976 1
1488 3384 3
1488 3495 1
1489 2213 1
1489 2638 3
1489 2731 1
1489 3864 3
1490 2571 1
1490 3279 2
1490 3328 2
1490 4445 7
1490 4476 2
1490 4796 1
1491 444 1
1491 3030 1
1492 4614 2
1493 4664 1
1494 1050 13
1494 1075 4
1494 4053 1
1495 527 4
1495 1593 1
1495 2376 1
1495 2429 1
1496 1818 2
1496 2512 1
1496 3953 3
1496 4393 1
1497 701 1
1497 1147 1
1497 2086 13
1497 2786 3
1497 4290 16
1498 883 1
1498 1650 1
1498 2914 4
1498 3521 3
1499 733 5
1499 1645 1
1499 1849 1
1499 2545 1
1499 3343 1
1499 4656 1
1500 485 1
1500 1027 5
1500 1451 1
1500 3787 1
1501 504 2
1501 879 4
1501 2211 1
1501 2758 3
1501 3430 1
1501 3451 10
1501 4232 2
1502 3804 1
1503 3186 1
1504 4 1
1504 270 1
1504 1636 1
1504 2503 1
1504 3699 1
1504 4550 1
1504 4561 1
1505 1701 1
1505 1908 1
1505 2956 5
1505 3386 2
1505 3690 1
1506 109 2
1506 197 1
1506 1854 1
1506 3786 2
1506 4794 9
1507 279 1
1507 486 1
1507 3083 8
1507 3107 2
1507 3787 5
1507 3916 1
1507 3984 2
1507 4939 9
1508 1018 3
1508 1128 1
1508 1284 1
1508 2358 5
1508 3776 1
1508 4047 2
1508 4172 1
1509 834 1
1509 3714 1
1510 11 1
1510 2570 1
1510 3823 1
1510 4960 1
1511 27 1
1511 956 3
1511 1821 1
1511 3064 11
1511 3202 1
1511 3865 13
1511 4216 1
1512 1576 1
1512 1912 3
1512 2996 3
1512 3785 1
1512 4271 1
1512 4326 1
1512 4628 1
1513 2711 1
1514 700 4
1514 4002 2
1514 4540 2
1515 1847 2
1515 1884 2
1515 2020 4
1515 3070 4
1515 3174 8
1515 3304 1
1516 491 2
1516 666 3
1516 1951 1
1516 2206 3
1516 2246 6
1516 4521 9
1517 3569 17
1518 1633 1
1518 1829 1
1518 2704 1
1518 4531 1
1519 1046 2
1519 2732 15
1519 4835 1
1520 1724 1
1521 509 3
1521 4183 1
1521 4308 1
1522 672 1
1522 1132 1
1522 1221 1
1522 1343 1
1522 1877 17
1522 2692 10
1522 2874 2
1522 3273 6
1522 3811 1
1523 997 5
1523 1403 8
1523 3288 1
1523 4542 1
1524 1112 2
1524 1591 1
1524 1788 1
1524 2840 5
1524 2941 3
1524 3506 1
1524 3915 4
1524 3994 1
1524 4389 1
1525 339 1
1525 548 2
1525 919 3
1525 1177 1
1525 1735 13
1525 2093 3
1525 3415 4
1526 276 5
1526 486 1
1526 1082 1
1526 1409 1
1526 3059 1
1526 3957 1
1527 1126 2
1527 2081 1
1527 2186 17
1527 2684 4
1527 3589 1
1527 4027 2
1528 1315 3
1528 1710 1
1528 1877 1
1528 3475 1
1528 4922 1
1529 1173 1
1529 2057 1
1529 3468 1
1530 226 2
1530 562 2
1530 932 2
1530 972 5
1531 185 1
1531 1917 2
1531 2873 1
1531 4007 4
1531 4608 1
1532 82 3
1532 333 4
1532 1879 1
1532 1961 2
1532 2023 5
1532 4314 2
1533 1804 1
1533 2766 1
1533 3271 7
1533 3370 1
1534 398 8
1534 1405 1
1534 1809 1
1534 2930 4
1534 3067 1
1534 3145 1
1535 3628 2
1535 4778 5
1536 3187 1
1536 3448 2
1536 4072 6
1537 245 1
1537 2159 1
1537 4159 1
1537 4381 1
1538 959 4
1538 1166 3
1538 2876 8
1538 3384 1
1538 4345 2
1539 171 1
1539 1224 1
1539 1351 1
1539 3209 1
1539 3374 1
1540 538 3
1540 3456 2
1541 161 7
1541 979 1
1541 1970 1
1541 2072 1
1541 2574 1
1541 3049 6
1541 4893 1
1542 1491 2
1542 2349 1
1542 2621 1
1542 2808 10
1542 3721 1
1542 3736 11
1543 797 4
1543 808 1
1543 1530 2
1543 4405 2
1543 4968 2
1544 366 1
1544 1564 1
1544 2489 4
1544 2731 1
1544 3352 1
1545 274 11
1545 2697 2
1545 3809 1
1545 4082 3
1545 4927 3
1546 745 3
1546 1192 9
1546 1450 4
1546 2164 1
1546 2696 1
1546 3617 2
1546 3678 1
1547 721 5
1547 1725 1
1547 2000 1
1547 4616 2
1548 1107 2
1548 1813 6
1548 4422 1
1549 220 1
1549 379 1
1549 562 3
1549 592 2
1549 857 2
1549 974 1
1549 3102 1
1549 3296 7
1549 3729 1
1549 4537 4
1550 958 1
1550 1027 1
1550 1461 3
1550 2237 1
1550 3259 8
1551 270 1
1551 3402 5
1551 3688 1
1551 4885 1
1552 206 3
1552 240 1
1552 1154 1
1552 1384 1
1552 1432 1
1552 2080 1
1552 2129 1
1552 2400 1
1552 3372 2
1552 3507 1
1552 4080 1
1553 251 2
1553 576 1
1553 1077 2
1553 1774 1
1553 2148 1
1553 2236 1
1553 4346 1
1554 400 1
1554 2195 1
1554 2631 2
1554 2805 1
1554 3193 1
1554 4373 9
1554 4505 3
1555 1742 6
1555 3214 1
1555 4042 6
1556 76 7
1556 1782 1
1556 2444 4
1556 4518 1
1556 4524 1
1556 4836 2
1557 2860 2
1557 3000 5
1558 260 3
1558 1111 1
1558 2930 1
1558 3206 1
1558 3768 8
1558 4957 1
1559 188 1
1559 1791 1
1559 2276 5
1559 2356 1
1559 3039 1
1559 3354 2
1559 4130 9
1560 338 1
1560 2727 1
1560 3114 3
1561 859 5
1561 1585 7
1561 1816 2
1561 2659 1
1561 4046 4
1561 4480 1
1561 4843 1
1562 3303 6
1562 3882 1
1562 4720 1
1563 311 3
1563 4238 1
1564 489 2
1564 1797 1
1564 2238 1
1564 3171 1
1564 4180 3
1564 4784 1
1565 991 1
1565 1600 5
1565 4727 4
1565 4904 1
1566 2260 1
1567 674 1
1567 857 1
1567 1391 39
1567 1710 4
1567 2004 1
1567 2531 5
1568 789 1
1568 1012 1
1568 3516 5
1569 269 2
1569 855 4
1569 1685 2
1569 2544 3
1569 3793 1
1569 4315 1
1570 1342 1
1570 2199 2
1570 2731 3
1570 3032 2
1570 3513 3
1570 4103 3
1570 4550 2
1570 4861 1
1571 1172 1
1571 3220 1
1571 4168 2
1571 4491 2
1572 1333 17
1572 2574 2
1572 3516 1
1572 4072 1
1572 4218 1
1573 636 3
1573 1047 1
1573 4076 1
1574 1426 1
1574 1695 1
1574 1722 5
1574 2734 4
1574 4801 1
1574 4933 10
1575 87 1
1575 382 17
1575 1486 1
1575 1913 17
1575 2363 1
1575 3600 2
1575 4942 4
1576 1774 1
1576 3017 2
1576 3934 1
1576 4055 4
1577 327 1
1577 1158 2
1577 1238 1
1577 1749 10
1578 1240 1
1578 3762 1
1579 459 1
1579 751 1
1579 2278 1
1580 22 4
1580 1160 4
1580 2084 1
1580 4385 1
1580 4678 1
1581 1400 2
1581 2445 1
1582 85 1
1582 486 1
1582 1448 1
1582 1780 2
1582 1858 5
1582 1867 1
1582 2247 1
1582 4495 3
1583 123 1
1583 875 1
1583 1087 2
1583 1819 1
1583 1820 1
1583 1897 2
1583 2106 1
1583 2624 1
1583 2713 4
1583 4408 1
1584 1476 1
1584 1838 1
1584 3865 1
1585 106 5
1585 676 1
1585 3923 4
1586 1413 1
1586 1435 1
1586 4784 1
1587 1435 1
1587 2536 4
1587 3881 1
1587 4235 1
1587 4375 1
1588 1155 1
1588 2480 1
1588 3731 2
1589 737 2
1589 1941 3
1589 3023 2
1589 3917 5
1590 1194 1
1590 2065 1
1590 3962 2
1590 4195 1
1591 809 12
1591 1046 1
1591 1263 2
1591 1939 1
1591 2032 1
1591 2069 2
1591 2648 5
1591 4319 1
1591 4722 3
1591 4860 2
1592 1103 3
1592 1140 1
1592 2923 3
1592 3352 2
1592 4358 1
1592 4967 1
1593 375 7
1593 719 1
1593 3239 1
1593 3640 1
1593 4106 3
1593 4367 11
1594 522 14
1594 1048 1
1594 1726 1
1594 2444 2
1594 4465 1
1594 4637 1
1594 4897 2
1595 922 1
1595 1593 1
1595 3427 1
1595 4502 1
1595 4513 1
1596 311 1
1596 1911 2
1596 3174 1
1596 3625 1
1597 113 1
1597 1157 1
1597 2234 2
1597 3612 3
1597 4311 3
1597 4818 4
1597 4838 6
1598 1184 2
1598 1593 2
1598 2310 1
1598 3604 2
1599 2685 11
1600 544 4
1600 2893 1
1600 2971 1
1600 3144 1
1600 3256 2
1600 4846 1
1601 9 1
1601 971 2
1601 3245 2
1601 3539 1
1601 4743 1
1601 4788 2
1602 954 1
1602 3053 1
1602 4290 1
1602 4491 13
1602 4816 1
1602 4838 1
1602 4964 2
1603 265 1
1603 4604 13
1603 4654 1
1604 2163 1
1604 2500 9
1605 445 1
1605 774 1
1605 775 1
1605 3084 2
1606 1629 6
1606 2122 1
1606 2351 1
1606 4380 3
1607 266 1
1607 2162 6
1607 2197 1
1607 4130 5
1607 4885 1
1608 1237 1
1608 1454 1
1608 1832 1
1608 2171 4
1608 3293 1
1608 3311 4
1608 4699 7
1609 2554 2
1609 2602 1
1609 4538 2
1610 706 20
1610 4908 3
1611 173 1
1611 1712 1
1611 2045 1
1611 3001 2
1613 128 6
1613 382 1
1613 1002 5
1613 3875 9
1613 4025 5
1613 4470 1
1613 4564 1
1614 1100 1
1614 1686 4
1614 2337 1
1614 4086 9
1615 465 1
1615 466 3
1615 1468 2
1615 2280 3
1615 2635 1
1615 2922 1
1615 3304 1
1615 3973 1
1615 3989 1
1616 569 1
1616 608 1
1616 1255 1
1616 2301 2
1616 3054 9
1616 4863 4
1617 1163 2
1617 1714 7
1617 2281 4
1617 2508 2
1617 2688 2
1617 3359 1
1617 4005 1
1618 1184 4
1618 4403 1
1618 4839 2
1618 4863 15
1619 245 5
1619 683 2
1619 1090 1
1619 3636 2
1620 746 1
1620 974 1
1620 1213 2
1620 3794 14
1620 4671 1
1621 1554 1
1621 1823 13
1621 1951 1
1621 3068 3
1621 3257 5
1621 3393 2
1621 3768 1
1621 3855 1
1622 178 1
1622 1462 2
1622 3783 1
1622 3977 19
1622 4141 8
1623 1183 3
1623 1320 9
1623 1666 1
1623 2339 1
1623 2500 1
1623 3380 1
1623 3812 10
1624 916 1
1624 3094 8
1625 905 6
1625 2781 1
1625 4184 1
1626 1879 2
1626 2025 1
1626 4487 1
1626 4816 12
1626 4931 1
1627 1445 11
1627 1559 2
1627 2496 2
1627 2791 1
1627 4050 1
1628 1050 1
1628 1307 3
1628 2072 1
1628 2166 1
1628 3095 1
1628 3274 5
1628 3382 1
1628 4258 5
1628 4838 2
1629 159 2
1629 2086 6
1629 3800 1
1629 3850 2
1629 4068 2
1629 4758 1
1630 1427 4
1630 1944 1
1630 1973 1
1630 2294 2
1630 2481 4
1630 4716 2
1631 1243 3
1631 3764 1
1631 3852 4
1632 731 2
1632 1662 5
1632 2229 1
1632 2612 13
1632 3522 3
1632 3674 1
1633 81 4
1633 1234 1
1633 1608 1
1633 2272 2
1633 3334 1
1633 3513 3
1633 4345 1
1633 4816 4
1634 993 3
1634 1747 1
1635 815 8
1635 1152 2
1635 1354 1
1635 3077 1
1635 4431 4
1635 4615 1
1635 4672 1
1636 683 1
1636 747 1
1636 895 1
1636 2131 2
1636 2657 1
1636 2861 1
1636 3298 4
1636 4504 1
1637 91 1
1637 117 15
1637 1522 1
1637 2704 1
1637 2830 1
1637 4138 2
1637 4859 2
1638 146 1
1638 843 8
1638 1591 1
1638 3630 3
1638 3640 1
1638 3954 1
1638 4177 2
1639 2590 3
1639 3405 28
1639 3850 2
1639 4633 4
1640 1408 1
1640 2137 7
1640 2710 1
1640 3491 1
1640 4372 1
1640 4633 1
1641 417 3
1641 665 3
1641 1625 1
1641 3141 1
1641 3566 3
1641 3872 10
